'zeng'yi 曾毅
'chang'sheng'bu'shuai 长盛不衰
'bo'luo'di'hai 波罗的海
'cun'bu'nan'xing 寸步难行
'chong'dao'fu'zhe 重蹈覆辙
'zhao'ri'xin'wen 朝日新闻
'hou'ci'bo'bi 厚此薄彼
'chang'qu'zhi'ru 长驱直入
'bo'cai'zhong'chang 博采众长
'yuan'yuan'liu'chang 源远流长
'chong'jian'tian'ri 重见天日
'zhao'si'mu'xiang 朝思暮想
'yi'ji'zhi'chang 一技之长
'ren'xing'heng'dao 人行横道
'dao'xing'ni'shi 倒行逆施
'ti'tian'xing'dao 替天行道
'lai'ri'fang'chang 来日方长
'shi'dan'li'bo 势单力薄
'ge'xing'qi'shi 各行其是
'chong'cao'jiu'ye 重操旧业
'er'nv'qing'chang 儿女情长
'shuo'lai'hua'chang 说来话长
'xing'xia'zhang'yi 行侠仗义
'bian'chang'mo'ji 鞭长莫及
'chang'xiu'shan'wu 长袖善舞
'da'fu'pian'pian 大腹便便
'qian'li'zhi'xing 千里之行
'chang'ci'xia'qu 长此下去
'na'zen'me'xing 那怎么行
'lun'gong'xing'shang 论功行赏
'ai'xin'jue'luo 爱新觉罗
'ying'ying'chuo'chuo 影影绰绰
'zhao'ling'xi'gai 朝令夕改
'yi'liao'bai'liao 一了百了
'yin'hang'gao'ge 引吭高歌
'gu'di'chong'you 故地重游
'jian'wei'zhi'zhu 见微知著
'feng'zi'chuo'yue 风姿绰约
'po'jing'chong'yuan 破镜重圆
'ji'shi'xing'le 及时行乐
'chong'gui'yu'hao 重归于好
'chen'ci'lan'diao 陈词滥调
'wu'di'fang'shi 无的放矢
'you'qiang'hua'diao 油腔滑调
'ye'chang'meng'duo 夜长梦多
'chang'xu'duan'tan 长吁短叹
'zuo'bang'you'bi 左膀右臂
'zhao'bu'bao'xi 朝不保夕
'zang'chuan'fo'jiao 藏传佛教
'xiao'shi'hua'liao 小事化了
'wen'chang'wen'duan 问长问短
'yi'bo'yun'tian 义薄云天
'long'xing'hu'bu 龙行虎步
'yang'chang'er'qu 扬长而去
'yi'qiu'zhi'he 一丘之貉
'chuo'chuo'you'yu 绰绰有余
'yi'yi'gu'xing 一意孤行
'ke'ran'chang'shi 溘然长逝
'jiu'di'chong'you 旧地重游
'da'xing'qi'dao 大行其道
'zhao'jiu'wan'wu 朝九晚五
'ri'xing'qian'li 日行千里
'shu'bei'li'zhuan 树碑立传
'tan'zhi'zhi'jian 弹指之间
'wan'tou'cuan'dong 万头攒动
'chong'luan'die'zhang 重峦叠嶂
'chang'le'wei'yang 长乐未央
'tan'guan'xiang'qing 弹冠相庆
'bang'da'yao'yuan 膀大腰圆
'xia'yi'shi'de 下意识地
'jin'ke'neng'de 尽可能地
'yi'ge'jin'de 一个劲地
'xiao'xi'xi'de 笑嘻嘻地
'chong'chu'jiang'hu 重出江湖
'you'yi'shi'de 有意识地
'bu'jing'yi'de 不经意地
'shi'jian'yi'chang 时间一长
'lan'yang'yang'de 懒洋洋地
'xing'chong'chong'de 兴冲冲地
'xing'shi'zou'rou 行尸走肉
'chi'luo'luo'de 赤裸裸地
'yi'xiao'liao'zhi 一笑了之
'wu'tiao'jian'de 无条件地
'zhao'san'mu'si 朝三暮四
'xiao'he'he'de 笑呵呵地
'zhao'zhao'mu'mu 朝朝暮暮
'jin'yi'bu'de 进一步地
'cong'chang'ji'yi 从长计议
'ge'ge'de'xiao 咯咯地笑
'xiao'ying'ying'de 笑盈盈地
'yu'shi'chang'ci 与世长辞
'she'ji'er'shang 拾级而上
'wu'wang'fu'chai 吴王夫差
'diao'hu'li'shan 调虎离山
'ri'bo'xi'shan 日薄西山
'jin'yan'shen'xing 谨言慎行
'nan'qiang'bei'diao 南腔北调
'yu'shan'guan'jin 羽扇纶巾
'hao'yi'wu'lao 好逸恶劳
'san'chang'liang'duan 三长两短
'xin'kuan'ti'pan 心宽体胖
'chi'li'pa'wai 吃里扒外
'yi'si'liao'zhi 一死了之
'chang'ge'dang'ku 长歌当哭
'shan'chong'shui'fu 山重水复
'zhao'qin'mu'chu 朝秦暮楚
'shuang'su'shuang'fei 双宿双飞
'shuo'chang'dao'duan 说长道短
'pen'bo'yu'chu 喷薄欲出
'na'qiang'na'diao 拿腔拿调
'chang'feng'po'lang 长风破浪
'xing'cheng'yu'si 行成于思
'yi'yu'po'di 一语破的
'wan'gu'chang'qing 万古长青
'guang'zhong'bo'shou 广种薄收
'bu'jian'jing'zhuan 不见经传
'qian'yi'shi'de 潜意识地
'yi'ji'duo'ren 以己度人
'yang'chang'bu'duan 扬长补短
'hou'gu'bo'jin 厚古薄今
'shuang'su'shuang'qi 双宿双栖
'chong'qi'lu'zao 重起炉灶
'zhao'fa'xi'zhi 朝发夕至
'dun'kai'mao'se 顿开茅塞
'tu'qi'hu'luo 兔起鹘落
'mo'chi'bu'wang 没齿不忘
'xiao'xing'ye'su 晓行夜宿
'xing'ruo'wu'shi 行若无事
'bie'wu'chang'wu 别无长物
'xin'guang'ti'pan 心广体胖
'hou'jin'bo'gu 厚今薄古
'jiu'diao'chong'tan 旧调重弹
'jia'yan'yi'xing 嘉言懿行
'hen'rong'yi'de 很容易地
'gui'xing'ju'bu 规行矩步
'duo'de'liang'li 度德量力
'mie'ci'zhao'shi 灭此朝食
'xie'xian'bao'fu 挟嫌报复
'dan'si'piao'yin 箪食瓢饮
'can'feng'su'lu 餐风宿露
'zhao'wen'xi'si 朝闻夕死
'jie'chang'bu'duan 截长补短
'ri'yue'chong'guang 日月重光
'shuo'duan'lun'chang 说短论长
'zhao'guo'xi'gai 朝过夕改
'bo'ji'zai'shen 薄技在身
'gong'xing'jie'jian 躬行节俭
'yi'duan'ji'chang 以短击长
'chi'duan'cun'chang 尺短寸长
'xing'yuan'zi'er 行远自迩
'jian'zui'bo'she 尖嘴薄舌
'shui'po'liang'shan 水泊梁山
'gu'xing'ji'jian 孤行己见
'xi'cun'shou'xing 西村寿行
'bi'mu'se'ting 闭目塞听
'zhao'ge'mu'wu 朝歌暮舞
'feng'che'lei'xing 风掣雷行
'xiao'mi'mi'de 笑眯眯地
'ba'shan'gang'ding 拔山扛鼎
'gong'shou'er'xiang 拱手而降
'yi'zhu'tan'que 以珠弹雀
'she'diao'ying'xiong'zhuan 射雕英雄传
'san'guo'qun'ying'zhuan 三国群英传
'bu'er'shi'wei'ke 布尔什维克
'yi'wu'xiang'yi'wu 一物降一物
'pian'xiang'hu'shan'xing 偏向虎山行
'duo'jun'zi'zhi'fu 度君子之腹
'bu'you'zi'zhu'de 不由自主地
'xian'jian'qi'xia'zhuan 仙剑奇侠传
'man'bu'jing'xin'de 漫不经心地
'yao'yao'huang'huang'de 摇摇晃晃地
'san'si'er'hou'xing 三思而后行
'qi'shi'xiong'xiong'de 气势汹汹地
'mo'xiang'hu'shan'xing 莫向虎山行
'zui'da'xian'du'de 最大限度地
'wu'yuan'wu'gu'de 无缘无故地
'yi'wu'yi'shi'de 一五一十地
'di'sheng'xia'qi'de 低声下气地
